МАРКА;МОДЕЛЬ;ГОД;ОБЪЕМ ДВИГАТЕЛЯ;ТОПЛИВО;ТИП ДВИГАТЕЛЯ;КОРОБКА;ТИП КУЗОВА;НАИМЕНОВАНИЕ ЗАПЧАСТИ;ОРИГИНАЛЬНЫЙ НОМЕР;ОПИСАНИЕ;ЦЕНА;ВАЛЮТА;ID_EXT;ФОТО;СКИДКА;НОВАЯ ДЕТАЛЬ;ТЕЛЕФОН;ВЕРСИЯ;СКЛАДСКАЯ ИНФОРМАЦИЯ;R ДИАМЕТР;J ШИРИНА;КОЛ ОТВЕРСТИЙ;ET ВЫЛЕТ;DIA;PCD;ВИДЕО
BMW;3 E46;2001;3000;2;;;0;Крышка масляного стакана;;С Д1 мотора.Идеальное состояние.Без трещин под ключ.;70;BYN;55358021;https://i0774.ru/i/3265/553/55358021-89a25c70bae5d2957db9be753e63c20f.jpg,https://i0774.ru/i/3265/553/55358021-7e63971b57479bb2d57f66cd239da4e1.jpg;0;0;;;;;;;;;;
BMW;7 E65/E66;2004;3000;2;;;0;Коробка передач автоматическая (АКПП);;6НР26.Малый пробег.В комплекте с гидротрансформатором(бубликом).Гарантия 30 дней.Доставка РБ,РФ.;495;USD;67268593;https://i0774.ru/i/3265/672/67268593-806b858382875b762d053bae1d713a0e.jpg,https://i0774.ru/i/3265/672/67268593-6b345f929b434a8afd3c8465a7d65a73.jpg,https://i0774.ru/i/3265/672/67268593-5e0782cc1396f36b8c4c1756042b77f2.jpg,https://i0774.ru/i/3265/672/67268593-b8d0b74faf7933c2683edf5b02135dbf.jpg,https://i0774.ru/i/3265/672/67268593-e684103448ec3aa2b52c8b7fff244396.jpg,https://i0774.ru/i/3265/672/67268593-7d1e56f9734aaf27b4308ab81a58270b.jpg,https://i0774.ru/i/3265/672/67268593-53d8d7cb5fc8931f90a7510641746378.jpg;0;0;;;;;;;;;;
BMW;5 E34;1995;0;;;;0;Трубка кондиционера;;соединительная, между салоном и подкапотным пространством, отличное состояние;10;USD;88827102;https://i0774.ru/p/3265/6d3/6d3440d1ceb57021a6093ee877ddc248.jpg,https://i0774.ru/p/3265/b79/b79a2742c95d6be1917749929780b262.jpg;0;0;;;;;;;;;;
BMW;5 E39;2002;2200;1;;;0;Суппорт тормозной передний левый;;60/22/296.Европа.Идеальное состояние.Сухой.Прокачка откручивается,подвод шланга откручен.Пыльники целые.Гарантия.Цена указана за штуку.Доставка по РБ.Отправка за пределы РБ.;20;USD;56166263;https://i0774.ru/i/3265/561/56166263-5d6228302b54de8484b16f4a0c34e58c.jpg,https://i0774.ru/i/3265/561/56166263-04f7585297d2faa2a8c8aed015c45062.jpg,https://i0774.ru/i/3265/561/56166263-a15189cf0eef1e4febc5553a94869b09.jpg;0;0;;;;;;;;;;
BMW;5 E34;1991;2400;2;TD;;0;Турбина;;Отличное состояние.Без люфтов.Гарантия 14 дней.Отправка РБ,РФ.;200;USD;94609255;https://i0774.ru/p/3265/a68/a68f9ca92c7eb04985048ea0fd10a893.jpg,https://i0774.ru/p/3265/2bc/2bc82d13657be4a3d04430a4237bcc1e.jpg,https://i0774.ru/p/3265/d52/d52523b96132d53b55a288a04eed72eb.jpg,https://i0774.ru/p/3265/a3b/a3b33b254585e0a3363c9b801887446a.jpg,https://i0774.ru/p/3265/422/422ac10a0ee1c8e7229379e91bdde66c.jpg,https://i0774.ru/p/3265/87a/87aa4f757407496d82f2dc91841ed034.jpg;0;0;;;;;;;;;;
BMW;3 E36;1992;2500;1;;2;0;Проводка двигателя;;Отличное состояние.Под АКПП ZF.Подойдет на механику.Подойдет на 2.0.Гарантия.Отправка РБ,РФ.;200;BYN;46467891;https://i0774.ru/i/3265/464/46467891-01780233d4964fd397f2ea772b939caf.jpg,https://i0774.ru/i/3265/464/46467891-5f6a913d346be6f7853d59a52b41048f.jpg,https://i0774.ru/i/3265/464/46467891-f2f7c69a7563121e0d36c0a0bd4552c8.jpg,https://i0774.ru/i/3265/464/46467891-b2fa52a43d2f5263f67d8be0406bc542.jpg;0;0;;;;;;;;;;
BMW;5 E39;1998;0;;;;0;Патрубок отопителя (печки);;Оригинал.Без коррозии.Цена указана за штуку.Гарантия.Отправка по РБ ;15;USD;52597953;https://i0774.ru/i/3265/525/52597953-76fbb360180190d802222c08d6106792.jpg,https://i0774.ru/i/3265/525/52597953-6569b7400d9d0213d44ce46ad2e1c694.jpg,https://i0774.ru/i/3265/525/52597953-a00f3cbe38429dd45fe55a383abe9b05.jpg,https://i0774.ru/i/3265/525/52597953-fda9a0c008ed7b75f0c0b98e5bc0ba1c.jpg;0;0;;;;;;;;;;
Volkswagen;Passat B3;1992;0;;;;0;Дверь передняя левая;;Приход Испания.Девственное состояние.Родной окрас.Без намека на коррозию.Цена указана за дверь без комплектующих.Доставка РБ,РФ.;150;USD;72259796;https://i0774.ru/i/3265/722/72259796-3a23b5478787a180d0c6c3ac3ca9a890.jpg,https://i0774.ru/i/3265/722/72259796-4c4c75b410f5e41b98e2a7231c7a7f3c.jpg,https://i0774.ru/i/3265/722/72259796-2746c06ef2fa8554505eb07846b38fda.jpg,https://i0774.ru/i/3265/722/72259796-f7e60e965caea2b60f7dba20559cbe21.jpg,https://i0774.ru/i/3265/722/72259796-e644a6461f6d491182057eb8d09016db.jpg,https://i0774.ru/i/3265/722/72259796-f73be617547c1fc0bcf579306b601f3e.jpg,https://i0774.ru/i/3265/722/72259796-e981c65c7827247e33ddc1f7f1000ecb.jpg,https://i0774.ru/i/3265/722/72259796-1058fcba9a7a79a987ab9af7d7990152.jpg,https://i0774.ru/i/3265/722/72259796-5689d1a3b59c235019d49a59e2f9dc0a.jpg;0;0;;;;;;;;;;
BMW;5 E39;2002;2500;1;;;0;Подушка двигателя;;Оригинал.Идеальное состояние.Из Европы.Малый пробег.Сухие.Цена указана за штуку.Гарантия.Доставка по РБ.Отправка за пределы РБ.;50;BYN;57301210;https://i0774.ru/i/3265/573/57301210-c5dec7c362dc5f269db8fc9e2315b6dd.jpg,https://i0774.ru/i/3265/573/57301210-06af0edaba9aae15d28d46d7d14240e8.jpg;0;0;;;;;;;;;;
BMW;5 E34;1995;0;;;;0;Полуось (приводной вал, шрус);;цена за 1 шт., подойдет для двигателя  M20/M40/M43/M50/M51.Доставка РБ,РФ.;70;USD;91776392;https://i0774.ru/p/3265/dd9/dd93e45c493e16db266bb5a8d6f460ac.jpg;0;0;;;;;;;;;;
